date,Type icon,Type color,type,file name,city,country,coordinates,map link,coord link
2025-01-05T12:50:00,landmark,blue,[[landmark]],MyZeil,[[Frankfurt]],[[Germany]],"50.11484023819293, 8.682127023375905",https://www.google.com/maps/search/MyZeil+Frankfurt+Germany,"https://www.google.com/maps/search/50.11484023819293, 8.682127023375905"
2025-01-05T11:21:00,amphora,pink,[[museum]],Historical Museum,[[Frankfurt]],[[Germany]],"50.1095428886791, 8.683247054056338",https://www.google.com/maps/search/Historical+Museum+Frankfurt+Germany,"https://www.google.com/maps/search/50.1095428886791, 8.683247054056338"
2025-01-04T11:58:00,amphora,pink,[[museum]],Stadel Museum,[[Frankfurt]],[[Germany]],"50.10352160315575, 8.67422192573914",https://www.google.com/maps/search/Stadel+Museum+Frankfurt+Germany,"https://www.google.com/maps/search/50.10352160315575, 8.67422192573914"
2025-01-03T20:07:00,bed,green,[[hotel]],Holiday Inn Gutleutviertel,[[Frankfurt]],[[Germany]],"50.09792574247026, 8.647344974305636",https://www.google.com/maps/search/Holiday+Inn+Gutleutviertel+Frankfurt+Germany,"https://www.google.com/maps/search/50.09792574247026, 8.647344974305636"
2025-01-03T11:37:00,landmark,blue,[[landmark]],Brandenburg Gate,[[Berlin]],[[Germany]],"52.51641497077008, 13.378406838739927",https://www.google.com/maps/search/Brandenburg+Gate+Berlin+Germany,"https://www.google.com/maps/search/52.51641497077008, 13.378406838739927"
2025-01-02T10:35:00,tree-pine,gold,[[sanctuary]],Tierpark Berlin,[[Berlin]],[[Germany]],"52.502920744221235, 13.532012034522573",https://www.google.com/maps/search/Tierpark+Berlin+Berlin+Germany,"https://www.google.com/maps/search/52.502920744221235, 13.532012034522573"
2024-12-31T11:37:00,landmark,blue,[[landmark]],Prague Castle,[[Prague]],[[Czech Republic]],"50.091203290825575, 14.402051017846828",https://www.google.com/maps/search/Prague+Castle+Prague+Czech+Republic,"https://www.google.com/maps/search/50.091203290825575, 14.402051017846828"
2024-12-31T09:43:00,landmark,blue,[[landmark]],Karluv Most,[[Prague]],[[Czech Republic]],"50.08678376224803, 14.410896496376584",https://www.google.com/maps/search/Karluv+Most+Prague+Czech+Republic,"https://www.google.com/maps/search/50.08678376224803, 14.410896496376584"
2024-12-30T15:23:00,landmark,blue,[[landmark]],Vaclavske Namesti,[[Prague]],[[Czech Republic]],"50.08196251743364, 14.427535655116698",https://www.google.com/maps/search/Vaclavske+Namesti+Prague+Czech+Republic,"https://www.google.com/maps/search/50.08196251743364, 14.427535655116698"
2024-12-30T10:54:00,amphora,pink,[[museum]],Franz Kafka Museum,[[Prague]],[[Czech Republic]],"50.088491691831045, 14.410727921518871",https://www.google.com/maps/search/Franz+Kafka+Museum+Prague+Czech+Republic,"https://www.google.com/maps/search/50.088491691831045, 14.410727921518871"
2024-12-30T10:15:00,landmark,blue,[[landmark]],Hlava Franze Kafky,[[Prague]],[[Czech Republic]],"50.081809746534546, 14.421094585297821",https://www.google.com/maps/search/Hlava+Franze+Kafky+Prague+Czech+Republic,"https://www.google.com/maps/search/50.081809746534546, 14.421094585297821"
2024-12-29T16:41:00,landmark,blue,[[landmark]],Muzeum,[[Prague]],[[Czech Republic]],"50.07903022675474, 14.431124456449398",https://www.google.com/maps/search/Muzeum+Prague+Czech+Republic,"https://www.google.com/maps/search/50.07903022675474, 14.431124456449398"
2024-12-29T07:12:00,bed,green,[[hotel]],Diana Club Hotel,[[Budapest]],[[Hungary]],"47.48910324603515, 19.093810908024494",https://www.google.com/maps/search/Diana+Club+Hotel+Budapest+Hungary,"https://www.google.com/maps/search/47.48910324603515, 19.093810908024494"
2024-12-28T16:08:00,store,purple,[[market]],Fashion Street,[[Budapest]],[[Hungary]],"47.4968261275969, 19.05272327212031",https://www.google.com/maps/search/Fashion+Street+Budapest+Hungary,"https://www.google.com/maps/search/47.4968261275969, 19.05272327212031"
2024-12-28T15:06:00,landmark,blue,[[landmark]],Heroes' Square,[[Budapest]],[[Hungary]],"47.51502142588652, 19.07770306433804",https://www.google.com/maps/search/Heroes'+Square+Budapest+Hungary,"https://www.google.com/maps/search/47.51502142588652, 19.07770306433804"
2024-12-28T11:45:00,landmark,blue,[[landmark]],Margitsziget,[[Budapest]],[[Hungary]],"47.52758465841715, 19.04691702910264",https://www.google.com/maps/search/Margitsziget+Budapest+Hungary,"https://www.google.com/maps/search/47.52758465841715, 19.04691702910264"
2024-12-28T09:41:00,landmark,blue,[[landmark]],House of Parliament,[[Budapest]],[[Hungary]],"47.5072224622878, 19.0461678908372",https://www.google.com/maps/search/House+of+Parliament+Budapest+Hungary,"https://www.google.com/maps/search/47.5072224622878, 19.0461678908372"
2024-12-27T14:15:00,landmark,blue,[[landmark]],Fisherman's Bastion,[[Budapest]],[[Hungary]],"47.50234215564995, 19.035215717825945",https://www.google.com/maps/search/Fisherman's+Bastion+Budapest+Hungary,"https://www.google.com/maps/search/47.50234215564995, 19.035215717825945"
2024-12-27T07:21:00,landmark,blue,[[landmark]],BahnhofCity Wien Hauptbahnhof,[[Vienna]],[[Austria]],"48.18580380638646, 16.377807768197034",https://www.google.com/maps/search/BahnhofCity+Wien+Hauptbahnhof+Vienna+Austria,"https://www.google.com/maps/search/48.18580380638646, 16.377807768197034"
2024-12-12T13:51:00,landmark,blue,[[landmark]],Brisbane Botanic Gardens Mt Coot-tha,[[Brisbane]],[[Australia]],"-27.476856128177097, 152.97621514694043",https://www.google.com/maps/search/Brisbane+Botanic+Gardens+Mt+Coot-tha+Brisbane+Australia,"https://www.google.com/maps/search/-27.476856128177097, 152.97621514694043"
2024-11-15T19:59:00,utensils,red,[[restaurant]],Sushi Edo,[[Brisbane]],[[Australia]],"-27.470097959340375, 153.0266180846238",https://www.google.com/maps/search/Sushi+Edo+Brisbane+Australia,"https://www.google.com/maps/search/-27.470097959340375, 153.0266180846238"
2024-11-12T21:25:00,utensils,red,[[restaurant]],The RedBrick Hotel,[[Brisbane]],[[Australia]],"-27.48943359264061, 153.0273398852978",https://www.google.com/maps/search/The+RedBrick+Hotel+Brisbane+Australia,"https://www.google.com/maps/search/-27.48943359264061, 153.0273398852978"
2024-10-13T17:55:00,party-popper,teal,[[recreation]],KPOP Karaoke Southport,[[Gold Coast]],[[Australia]],"-27.968619509285812, 153.41379433685972",https://www.google.com/maps/search/KPOP+Karaoke+Southport+Gold+Coast+Australia,"https://www.google.com/maps/search/-27.968619509285812, 153.41379433685972"
